FORMA|KEY|SIGL
1rb|1rb|h
##|##|h
ayent|ayent|h
de|de|h
lor|lor|h
proïce|proïce|h
envie|envie|h
##|##|h
*|*|h
p|p|h
amender|amender|h
lor|lor|h
fausse|fausse|h
vie|vie|h
##|##|h
*|*|h
p|p|h
les|les|h
anciens|anciens|h
remanbrer|remanbrer|h
##|##|h
vos|vos|h
voill|voill|h
dire|dire|h
et|et|h
raconter|raconter|h
##|##|h
ensi_com|ensi_com|h
ay|ay|h
escrit|escrit|h
trové|trové|h
##|##|h
d’|d’|h
on|on|h
estoyre|estoyre|h
la|la|h
verité|verité|h
##|##|h
à|à|h
ceuz|ceuz|h
qui|qui|h
firent|firent|h
le|le|h
biauz|biauz|h
faiz|faiz|h
##|##|h
*|*|h
p|p|h
quoi|quoi|h
li|li|h
contes|contes|h
est|est|h
retraiz|retraiz|h
##|##|h
devonsmes|devonsmes|h
nos|nos|h
toz_jorz|toz_jorz|h
entandre|entandre|h
##|##|h
car|car|h
adés|adés|h
y|y|h
puet|puet|h
om|om|h
enprandre|enprandre|h
##|##|h
que|que|h
cil|cil|h
mantenoient|mantenoient|h
onor|onor|h
##|##|h
proëce|proëce|h
et|et|h
foy|foy|h
et|et|h
amor|amor|h
##|##|h
à|à|h
cel|cel|h
tenps|tenps|h
estoit|estoit|h
amors|amors|h
vive|vive|h
##|##|h
que|que|h
or|or|h
est|est|h
morte|morte|h
et|et|h
chative|chative|h
##|##|h
de|de|h
ce|ce|h
fu|fu|h
dame|dame|h
et|et|h
roïne|roïne|h
##|##|h
or|or|h
est|est|h
avere|avere|h
et|et|h
frarine|frarine|h
##|##|h
lors|lors|h
estoit|estoit|h
d’|d’|h
onor|onor|h
coronee|coronee|h
##|##|h
or|or|h
est|est|h
*|*|h
p|p|h
covoitise|covoitise|h
tuee|tuee|h
##|##|h
non|non|h
avoit|avoit|h
pas|pas|h
enjant|enjant|h
ne|ne|h
vice|vice|h
##|##|h
or|or|h
se|se|h
muert|muert|h
car|car|h
por|por|h
avarice|avarice|h
##|##|h
or|or|h
ne|ne|h
quiert|quiert|h
pas|pas|h
amors|amors|h
noblece|noblece|h
##|##|h
des|des|h
celui|celui|h
vuel|vuel|h
qui|qui|h
a|a|h
richece|richece|h
##|##|h
ou|ou|h
soit|soit|h
gentis|gentis|h
o|o|h
soit|soit|h
valains|valains|h
##|##|h
amors|amors|h
tent|tent|h
par_trestot|par_trestot|h
les|les|h
mains|mains|h
##|##|h
[|[|h
.|.|h
.|.|h
.|.|h
]|]|h
est|est|h
vilain|vilain|h
cuvers|cuvers|h
provez|provez|h
##|##|h
sol_que|sol_que|h
[|[|h
.|.|h
.|.|h
.|.|h
]|]|h
deniers|deniers|h
assez|assez|h
##|##|h
bien|bien|h
ert|ert|h
servis|servis|h
et|et|h
receüs|receüs|h
##|##|h
mes|mes|h
il|il|h
n’|n’|h
est|est|h
*|*|h
mlt|mlt|h
tost|tost|h
deceüs|deceüs|h
##|##|h
car|car|h
il|il|h
ne|ne|h
set|set|h
ne|ne|h
il|il|h
ne|ne|h
voit|voit|h
##|##|h
coment|coment|h
li|li|h
avoirs|avoirs|h
le|le|h
decoit|decoit|h
##|##|h
quant|quant|h
le|le|h
conquiert|conquiert|h
n’|n’|h
a|a|h
joie|joie|h
vaine|vaine|h
##|##|h
et|et|h
quant|quant|h
le|le|h
pert|pert|h
dolor|dolor|h
certaine|certaine|h
##|##|h
ne|ne|h
puet|puet|h
pas|pas|h
garder|garder|h
longemant|longemant|h
##|##|h
qui|qui|h
no|no|h
·l|·l|h
perde|perde|h
qui|qui|h
nos|nos|h
despant|despant|h
##|##|h
avoirs|avoirs|h
est|est|h
perdus|perdus|h
mante|mante|h
part|part|h
##|##|h
avars|avars|h
hom|hom|h
n’|n’|h
iert|iert|h
ja|ja|h
sengart|sengart|h
##|##|h
qui|qui|h
pert|pert|h
en|en|h
terre|terre|h
et|et|h
pert|pert|h
en|en|h
mer|mer|h
##|##|h
*|*|h
p|p|h
robeörs|robeörs|h
et|et|h
*|*|h
p|p|h
enbler|enbler|h
##|##|h
*|*|h
p|p|h
mal|mal|h
seignor|seignor|h
pert|pert|h
et|et|h
*|*|h
p|p|h
guerre|guerre|h
##|##|h
quant|quant|h
muert|muert|h
pert|pert|h
l’|l’|h
avoir|avoir|h
et|et|h
la|la|h
terre|terre|h
